읍면동명,코드
중계2·3동,1111078
공릉1동,1111079
녹번동,1112051
불광1동,1112052
갈현1동,1112055
갈현2동,1112056
구산동,1112057
대조동,1112058
응암1동,1112059
응암2동,1112060
신사1동,1112065
신사2동,1112066
증산동,1112067
수색동,1112068
진관동,1112071
불광2동,1112072
응암3동,1112073
역촌동,1112074
천연동,1113052
홍제1동,1113062
홍제3동,1113064
홍제2동,1113065
홍은1동,1113066
홍은2동,1113068
남가좌1동,1113069
남가좌2동,1113070
북가좌1동,1113071
북가좌2동,1113072
충현동,1113073
북아현동,1113074
신촌동,1113075
연희동,1113076
용강동,1114059
대흥동,1114060
염리동,1114061
신수동,1114063
서교동,1114066
합정동,1114068
망원1동,1114069
망원2동,1114070
연남동,1114071
성산1동,1114072
성산2동,1114073
상암동,1114074
도화동,1114075
서강동,1114076
공덕동,1114077
아현동,1114078
목1동,1115051
목2동,1115052
목3동,1115053
목4동,1115054
신월1동,1115057
신월2동,1115058
신월3동,1115059
신월4동,1115060
신월5동,1115061
신월6동,1115062
신월7동,1115063
신정1동,1115064
신정2동,1115065
신정3동,1115066
신정6동,1115069
신정7동,1115070
목5동,1115071
신정4동,1115072
염창동,1116051
등촌1동,1116052
등촌2동,1116053
등촌3동,1116054
화곡본동,1116055
화곡2동,1116057
화곡3동,1116058
화곡4동,1116059
화곡6동,1116061
화곡8동,1116063
가양1동,1116064
가양2동,1116065
가양3동,1116066
발산1동,1116067
공항동,1116069
방화1동,1116070
방화2동,1116071
방화3동,1116072
화곡1동,1116073
우장산동,1116074
신도림동,1117051
구로1동,1117052
구로3동,1117054
구로4동,1117055
구로5동,1117056
고척1동,1117061
고척2동,1117062
개봉2동,1117064
개봉3동,1117065
오류1동,1117067
수궁동,1117069
가리봉동,1117070
구로2동,1117071
개봉1동,1117072
오류2동,1117073
항동,1117074
가산동,1118051
독산1동,1118052
독산2동,1118053
독산3동,1118054
독산4동,1118055
시흥1동,1118057
시흥2동,1118058
시흥3동,1118059
시흥4동,1118060
시흥5동,1118061
여의동,1119054
당산1동,1119055
당산2동,1119056
양평1동,1119061
양평2동,1119062
신길1동,1119063
신길3동,1119065
신길4동,1119066
신길5동,1119067
신길6동,1119068
신길7동,1119069
대림1동,1119070
대림2동,1119071
대림3동,1119072
영등포본동,1119073
영등포동,1119074
도림동,1119075
문래동,1119076
노량진2동,1120052
상도1동,1120053
상도2동,1120054
상도3동,1120055
상도4동,1120056
사당1동,1120063
사당3동,1120065
사당4동,1120066
사당5동,1120067
대방동,1120068
신대방1동,1120069
신대방2동,1120070
흑석동,1120071
노량진1동,1120072
사당2동,1120073
보라매동,1121052
청림동,1121054
행운동,1121057
낙성대동,1121058
중앙동,1121061
인헌동,1121062
남현동,1121063
서원동,1121064
신원동,1121065
서림동,1121066
신사동,1121068
신림동,1121069
난향동,1121071
조원동,1121072
대학동,1121073
은천동,1121078
성현동,1121079
청룡동,1121080
난곡동,1121081
삼성동,1121082
미성동,1121083
서초1동,1122051
서초2동,1122052
서초3동,1122053
서초4동,1122054
잠원동,1122055
반포본동,1122056
반포1동,1122057
반포2동,1122058
반포3동,1122059
반포4동,1122060
방배본동,1122061
방배1동,1122062
방배2동,1122063
방배3동,1122064
방배4동,1122065
양재1동,1122066
양재2동,1122067
내곡동,1122068
신사동,1123051
논현1동,1123052
논현2동,1123053
삼성1동,1123058
삼성2동,1123059
대치1동,1123060
대치4동,1123063
역삼1동,1123064
역삼2동,1123065
도곡1동,1123066
도곡2동,1123067
개포1동,1123068
개포4동,1123071
일원본동,1123072
일원1동,1123073
일원2동,1123074
수서동,1123075
세곡동,1123076
압구정동,1123077
청담동,1123078
대치2동,1123079
개포2동,1123080
풍납1동,1124051
풍납2동,1124052
거여1동,1124053
거여2동,1124054
마천1동,1124055
마천2동,1124056
방이1동,1124057
방이2동,1124058
오륜동,1124059
오금동,1124060
송파1동,1124061
송파2동,1124062
석촌동,1124063
삼전동,1124064
가락본동,1124065
가락1동,1124066
가락2동,1124067
문정1동,1124068
문정2동,1124069
잠실본동,1124071
잠실4동,1124075
잠실6동,1124077
잠실7동,1124078
잠실2동,1124079
잠실3동,1124080
장지동,1124081
위례동,1124082
강일동,1125051
상일동,1125052
명일1동,1125053
명일2동,1125054
고덕1동,1125055
고덕2동,1125056
암사2동,1125058
암사3동,1125059
천호1동,1125061
천호3동,1125063
성내1동,1125065
성내2동,1125066
성내3동,1125067
둔촌1동,1125070
둔촌2동,1125071
암사1동,1125072
천호2동,1125073
길동,1125074
중앙동,2101051
동광동,2101052
대청동,2101053
보수동,2101054
부평동,2101056
광복동,2101057
남포동,2101058
영주1동,2101059
영주2동,2101060
동대신1동,2102051
동대신2동,2102052
동대신3동,2102053
서대신1동,2102054
서대신3동,2102056
서대신4동,2102057
부민동,2102059
아미동,2102061
초장동,2102063
충무동,2102064
남부민1동,2102065
암남동,2102068
남부민2동,2102069
초량1동,2103051
초량2동,2103052
초량3동,2103053
초량6동,2103055
수정1동,2103056
수정2동,2103057
수정4동,2103059
수정5동,2103060
범일2동,2103066
범일5동,2103068
좌천동,2103070
범일1동,2103071
남항동,2104053
영선1동,2104054
영선2동,2104055
봉래1동,2104059
청학1동,2104063
청학2동,2104064
동삼1동,2104065
동삼2동,2104066
동삼3동,2104067
신선동,2104068
봉래2동,2104069
부전2동,2105052
연지동,2105054
초읍동,2105055
양정1동,2105056
양정2동,2105057
전포2동,2105061
부암1동,2105064
부암3동,2105066
당감2동,2105068
당감4동,2105070
가야2동,2105072
개금1동,2105074
개금2동,2105075
개금3동,2105076
범천1동,2105077
당감제1동,2105080
가야제1동,2105081
부전1동,2105082
전포1동,2105083
범천2동,2105084
수민동,2106051
복산동,2106052
온천1동,2106055
온천2동,2106056
온천3동,2106057
사직1동,2106058
사직2동,2106059
사직3동,2106060
안락1동,2106061
안락2동,2106062
명장1동,2106063
명장2동,2106064
명륜동,2106065
대연3동,2107053
대연4동,2107054
대연5동,2107055
대연6동,2107056
용호1동,2107057
용호2동,2107058
용호3동,2107059
용호4동,2107060
용당동,2107061
감만1동,2107062
감만2동,2107063
문현1동,2107066
문현2동,2107067
문현3동,2107068
문현4동,2107069
대연1동,2107070
우암동,2107071
구포1동,2108051
구포2동,2108052
구포3동,2108053
금곡동,2108054
화명1동,2108055
덕천1동,2108056
덕천2동,2108057
덕천3동,2108058
만덕1동,2108059
만덕2동,2108060
만덕3동,2108061
화명2동,2108062
화명3동,2108063
중1동,2109053
중2동,2109054
송정동,2109056
반여2동,2109058
반여3동,2109059
반송2동,2109062
재송1동,2109064
재송2동,2109065
좌1동,2109066
좌2동,2109067
좌3동,2109068
좌4동,2109069
반여1동,2109070
반여4동,2109071
반송1동,2109072
우1동,2109073
우2동,2109074
우3동,2109075
괴정1동,2110051
괴정2동,2110052
괴정3동,2110053
괴정4동,2110054
당리동,2110055
하단1동,2110056
하단2동,2110057
신평1동,2110058
신평2동,2110059
장림1동,2110060
장림2동,2110061
다대1동,2110062
다대2동,2110063
구평동,2110064
감천1동,2110065
감천2동,2110066
서1동,2111051
서2동,2111052
부곡1동,2111057
부곡2동,2111058
부곡3동,2111059
부곡4동,2111060
장전1동,2111061
선두구동,2111064
청룡노포동,2111067
남산동,2111068
구서1동,2111069
구서2동,2111070
금성동,2111071
서3동,2111072
금사회동동,2111073
장전2동,2111074
대저1동,2112051
대저2동,2112052
강동동,2112053
가락동,2112055
녹산동,2112056
가덕도동,2112058
명지1동,2112059
명지2동,2112060
거제1동,2113051
거제2동,2113052
거제3동,2113053
거제4동,2113054
연산1동,2113055
연산2동,2113056
연산3동,2113057
연산4동,2113058
연산5동,2113059
연산6동,2113060
연산8동,2113062
연산9동,2113063
남천1동,2114051
남천2동,2114052
수영동,2114053
망미1동,2114054
망미2동,2114055
광안1동,2114056
광안2동,2114057
광안3동,2114058
광안4동,2114059
민락동,2114060
삼락동,2115051
모라1동,2115052
모라3동,2115054
덕포1동,2115055
덕포2동,2115056
괘법동,2115057
주례1동,2115060
주례2동,2115061
주례3동,2115062
학장동,2115063
엄궁동,2115064
감전동,2115065
기장읍,2131011
장안읍,2131012
정관읍,2131013
일광면,2131031
철마면,2131033
삼덕동,2201054
성내1동,2201056
성내2동,2201059
성내3동,2201061
대신동,2201062
남산1동,2201064
남산2동,2201065
남산3동,2201066
남산4동,2201067
대봉1동,2201068
대봉2동,2201069
동인동,2201070
신암1동,2202051
신암2동,2202052
신암3동,2202053
신암4동,2202054
신암5동,2202055
신천1·2동,2202056
신천3동,2202058
신천4동,2202059
효목1동,2202060
효목2동,2202061
도평동,2202062
불로·봉무동,2202063
지저동,2202065
동촌동,2202066
방촌동,2202068
해안동,2202069
공산동,2202071
안심1동,2202073
안심2동,2202074
안심3·4동,2202075
내당1동,2203051
내당2·3동,2203052
내당4동,2203053
비산1동,2203054
비산2·3동,2203055
비산4동,2203056
비산5동,2203057
비산6동,2203058
비산7동,2203059
평리1동,2203060
평리2동,2203061
평리3동,2203062
평리4동,2203063
평리5동,2203064
평리6동,2203065
상중이동,2203066
원대동,2203068
이천동,2204051
봉덕1동,2204053
봉덕2동,2204054
봉덕3동,2204055
대명1동,2204056
대명2동,2204057
대명3동,2204058
대명4동,2204059
대명5동,2204060
대명6동,2204061
대명9동,2204064
대명10동,2204065
대명11동,2204066
고성동,2205051
칠성동,2205052
침산1동,2205055
침산2동,2205056
침산3동,2205057
산격1동,2205061
산격2동,2205062
산격3동,2205063
산격4동,2205064
복현1동,2205065
복현2동,2205066
검단동,2205070
무태조야동,2205071
태전2동,2205074
관문동,2205075
읍내동,2205076
관음동,2205077
태전1동,2205078
구암동,2205079
노원동,2205081
동천동,2205082
국우동,2205083
대현동,2205084
범어1동,2206051
범어2동,2206052
범어3동,2206053
범어4동,2206054
만촌1동,2206055
만촌2동,2206056
만촌3동,2206057
수성1가동,2206058
수성2·3가동,2206059
수성4가동,2206060
황금1동,2206061
황금2동,2206062
중동,2206063
상동,2206064
파동,2206065
두산동,2206066
지산1동,2206067
지산2동,2206068
범물1동,2206069
범물2동,2206070
고산1동,2206071
고산2동,2206072
고산3동,2206073
두류3동,2207055
본리동,2207056
감삼동,2207057
죽전동,2207058
장기동,2207059
이곡1동,2207060
신당동,2207061
월성1동,2207062
월성2동,2207063
진천동,2207064
상인1동,2207065
상인2동,2207066
상인3동,2207067
도원동,2207068
송현1동,2207069
송현2동,2207070
본동,2207071
용산1동,2207072
용산2동,2207073
이곡2동,2207074
성당동,2207075
두류1·2동,2207076
화원읍,2231011
논공읍,2231012
다사읍,2231013
유가읍,2231014
옥포읍,2231015
현풍읍,2231016
가창면,2231031
하빈면,2231032
구지면,2231036
연안동,2301052
신포동,2301053
신흥동,2301054
도원동,2301056
율목동,2301057
동인천동,2301058
북성동,2301060
송월동,2301061
용유동,2301063
운서동,2301064
영종동,2301065
영종1동,2301066
만석동,2302051
화수1·화평동,2302052
화수2동,2302053
송현1·2동,2302055
송현3동,2302057
송림1동,2302058
송림2동,2302059
송림3·5동,2302060
송림4동,2302061
송림6동,2302063
금창동,2302064
옥련1동,2304051
선학동,2304052
연수1동,2304053
연수2동,2304054
연수3동,2304055
청학동,2304056
동춘1동,2304057
동춘2동,2304058
동춘3동,2304059
옥련2동,2304060
송도1동,2304064
송도3동,2304065
송도2동,2304066
송도4동,2304067
구월1동,2305051
구월2동,2305052
구월3동,2305053
구월4동,2305054
간석1동,2305055
간석2동,2305056
간석3동,2305057
간석4동,2305058
만수1동,2305059
만수2동,2305060
만수3동,2305061
만수4동,2305062
만수5동,2305063
만수6동,2305064
남촌도림동,2305067
논현1동,2305072
논현2동,2305073
논현고잔동,2305074
장수서창동,2305075
서창2동,2305076
부평1동,2306051
부평2동,2306052
부평3동,2306053
부평4동,2306054
부평5동,2306055
부평6동,2306056
산곡1동,2306057
산곡2동,2306058
산곡3동,2306059
산곡4동,2306060
청천1동,2306061
청천2동,2306062
갈산1동,2306063
갈산2동,2306064
삼산1동,2306065
부개1동,2306066
부개2동,2306067
부개3동,2306068
일신동,2306069
십정1동,2306070
십정2동,2306071
삼산2동,2306072
효성1동,2307051
효성2동,2307052
계산1동,2307053
계산2동,2307054
계산3동,2307055
작전1동,2307056
작전2동,2307057
작전서운동,2307058
계양2동,2307061
계산4동,2307062
계양1동,2307063
계양3동,2307064
검암경서동,2308051
연희동,2308053
가정1동,2308054
가정2동,2308055
가정3동,2308056
석남1동,2308058
석남2동,2308059
석남3동,2308060
가좌1동,2308062
가좌2동,2308063
가좌3동,2308064
가좌4동,2308065
신현원창동,2308073
청라1동,2308074
청라2동,2308078
청라3동,2308079
검단동,2308080
불로대곡동,2308081
원당동,2308082
오류왕길동,2308084
당하동,2308085
마전동,2308086
숭의2동,2309052
숭의4동,2309054
용현2동,2309056
용현3동,2309057
용현5동,2309059
학익1동,2309060
학익2동,2309061
도화1동,2309062
주안1동,2309065
주안2동,2309066
주안3동,2309067
주안4동,2309068
주안5동,2309069
주안6동,2309070
주안7동,2309071
주안8동,2309072
관교동,2309073
문학동,2309074
숭의1·3동,2309075
용현1·4동,2309076
도화2·3동,2309077
강화읍,2331011
선원면,2331031
불은면,2331032
길상면,2331033
화도면,2331034
양도면,2331035
내가면,2331036
하점면,2331037
양사면,2331038
송해면,2331039
교동면,2331040
삼산면,2331041
서도면,2331042
북도면,2332031
연평면,2332032
백령면,2332033
대청면,2332034
덕적면,2332035
자월면,2332036
영흥면,2332037
충장동,2401051
동명동,2401054
계림1동,2401056
계림2동,2401058
산수1동,2401059
산수2동,2401061
지산1동,2401062
지산2동,2401063
서남동,2401064
학동,2401068
학운동,2401071
지원1동,2401072
지원2동,2401073
양동,2402051
양3동,2402053
농성1동,2402054
농성2동,2402055
광천동,2402056
유덕동,2402057
상무1동,2402058
상무2동,2402059
화정1동,2402060
화정2동,2402061
화정3동,2402062
화정4동,2402063
서창동,2402064
치평동,2402066
풍암동,2402067
금호1동,2402068
금호2동,2402069
동천동,2402070
양림동,2403051
방림1동,2403052
방림2동,2403053
사직동,2403054
월산동,2403057
월산4동,2403060
월산5동,2403061
백운1동,2403062
백운2동,2403063
주월1동,2403064
주월2동,2403065
효덕동,2403066
송암동,2403067
봉선1동,2403068
봉선2동,2403069
대촌동,2403070
중흥1동,2404051
중흥2동,2404052
중흥3동,2404053
중앙동,2404054
임동,2404055
신안동,2404056
용봉동,2404057
운암1동,2404058
운암2동,2404059
운암3동,2404060
동림동,2404061
우산동,2404062
풍향동,2404063
문화동,2404064
문흥1동,2404065
문흥2동,2404066
두암1동,2404067
두암2동,2404068
두암3동,2404069
삼각동,2404070
매곡동,2404071
오치1동,2404072
오치2동,2404073
석곡동,2404074
일곡동,2404078
건국동,2404079
양산동,2404080
송정1동,2405051
송정2동,2405052
도산동,2405054
신흥동,2405055
어룡동,2405056
우산동,2405058
월곡1동,2405059
월곡2동,2405060
비아동,2405061
하남동,2405063
임곡동,2405064
동곡동,2405065
평동,2405066
삼도동,2405067
본량동,2405068
첨단1동,2405069
첨단2동,2405070
운남동,2405071
신창동,2405073
신가동,2405074
수완동,2405075
효동,2501053
판암1동,2501055
판암2동,2501056
용운동,2501057
자양동,2501060
가양1동,2501063
가양2동,2501064
용전동,2501065
홍도동,2501068
대청동,2501073
산내동,2501075
중앙동,2501076
신인동,2501077
대동,2501078
성남동,2501079
삼성동,2501080
은행선화동,2502051
목동,2502053
중촌동,2502054
대흥동,2502055
문창동,2502056
석교동,2502057
대사동,2502058
부사동,2502059
용두동,2502060
오류동,2502062
태평1동,2502063
태평2동,2502064
유천1동,2502065
유천2동,2502066
문화1동,2502067
문화2동,2502068
산성동,2502069
복수동,2503051
도마1동,2503052
도마2동,2503053
정림동,2503054
변동,2503055
용문동,2503056
탄방동,2503057
둔산1동,2503059
둔산2동,2503060
괴정동,2503061
가장동,2503062
내동,2503063
갈마1동,2503064
갈마2동,2503065
월평1동,2503066
월평2동,2503067
월평3동,2503068
만년동,2503069
가수원동,2503070
기성동,2503071
관저1동,2503072
관저2동,2503073
둔산3동,2503074
진잠동,2504051
온천2동,2504054
신성동,2504055
전민동,2504057
노은1동,2504059
구즉동,2504061
관평동,2504063
온천1동,2504064
원신흥동,2504065
노은2동,2504066
노은3동,2504067
오정동,2505051
대화동,2505052
회덕동,2505053
비래동,2505054
중리동,2505055
법1동,2505056
법2동,2505057
신탄진동,2505058
석봉동,2505059
덕암동,2505060
목상동,2505061
송촌동,2505062
학성동,2601051
반구1동,2601052
반구2동,2601053
복산1동,2601054
복산2동,2601055
우정동,2601059
태화동,2601060
다운동,2601061
병영1동,2601062
병영2동,2601063
약사동,2601064
성안동,2601066
중앙동,2601067
신정1동,2602051
신정2동,2602052
신정3동,2602053
신정4동,2602054
신정5동,2602055
달동,2602056
삼산동,2602057
삼호동,2602058
무거동,2602059
옥동,2602060
야음장생포동,2602061
대현동,2602062
수암동,2602063
선암동,2602064
방어동,2603051
일산동,2603052
화정동,2603053
대송동,2603054
전하1동,2603055
남목1동,2603058
남목2동,2603059
남목3동,2603060
전하2동,2603061
농소1동,2604051
농소2동,2604052
농소3동,2604053
강동동,2604054
효문동,2604056
송정동,2604057
양정동,2604058
염포동,2604059
온산읍,2631011
언양읍,2631012
온양읍,2631013
범서읍,2631014
청량읍,2631015
서생면,2631031
웅촌면,2631034
두동면,2631036
두서면,2631037
상북면,2631038
삼남면,2631039
삼동면,2631040
조치원읍,2901011
연기면,2901031
연동면,2901032
부강면,2901033
금남면,2901034
장군면,2901035
연서면,2901036
전의면,2901037
전동면,2901038
소정면,2901039
도담동,2901053
종촌동,2901056
아름동,2901059
고운동,2901060
한솔동,2901061
새롬동,2901062
대평동,2901064
소담동,2901065
보람동,2901066
파장동,3101154
율천동,3101155
정자1동,3101156
정자2동,3101157
영화동,3101158
송죽동,3101159
조원1동,3101160
연무동,3101161
정자3동,3101162
조원2동,3101163
세류1동,3101252
세류2동,3101253
세류3동,3101254
평동,3101255
서둔동,3101256
구운동,3101257
권선1동,3101260
곡선동,3101261
입북동,3101262
권선2동,3101264
금곡동,3101265
호매실동,3101266
지동,3101353
우만1동,3101354
우만2동,3101355
인계동,3101356
매교동,3101367
매산동,3101368
고등동,3101369
화서1동,3101370
화서2동,3101371
행궁동,3101372
매탄1동,3101451
매탄2동,3101452
매탄3동,3101453
매탄4동,3101454
원천동,3101460
광교1동,3101462
광교2동,3101463
영통1동,3101464
영통2동,3101465
영통3동,3101466
망포1동,3101467
망포2동,3101468
신흥1동,3102151
신흥2동,3102152
신흥3동,3102153
태평1동,3102154
태평2동,3102155
태평3동,3102156
태평4동,3102157
수진1동,3102158
수진2동,3102159
단대동,3102160
산성동,3102161
양지동,3102162
신촌동,3102164
고등동,3102165
시흥동,3102166
복정동,3102167
위례동,3102168
성남동,3102251
금광1동,3102253
금광2동,3102254
은행1동,3102255
은행2동,3102256
상대원1동,3102257
상대원2동,3102258
상대원3동,3102259
하대원동,3102260
도촌동,3102261
중앙동,3102262
분당동,3102351
수내3동,3102352
수내1동,3102353
수내2동,3102354
정자2동,3102355
정자3동,3102356
서현1동,3102358
서현2동,3102359
이매1동,3102360
이매2동,3102361
야탑1동,3102362
야탑3동,3102363
야탑2동,3102364
구미동,3102367
운중동,3102368
금곡동,3102371
구미1동,3102372
삼평동,3102374
판교동,3102375
백현동,3102376
정자1동,3102377
정자동,3102378
의정부2동,3103052
호원1동,3103055
장암동,3103056
신곡1동,3103057
신곡2동,3103058
송산1동,3103059
자금동,3103060
녹양동,3103064
호원2동,3103065
흥선동,3103067
가능동,3103068
의정부1동,3103069
송산2동,3103070
송산3동,3103071
안양1동,3104151
안양2동,3104152
안양3동,3104153
안양4동,3104154
안양5동,3104155
안양6동,3104156
안양7동,3104157
안양8동,3104158
안양9동,3104159
석수1동,3104160
석수2동,3104161
석수3동,3104162
박달1동,3104163
박달2동,3104164
비산1동,3104251
비산2동,3104252
비산3동,3104253
부흥동,3104254
달안동,3104255
관양1동,3104256
관양2동,3104257
부림동,3104258
평촌동,3104259
평안동,3104260
귀인동,3104261
호계1동,3104262
호계2동,3104263
호계3동,3104264
범계동,3104265
신촌동,3104266
갈산동,3104267
심곡동,3105087
부천동,3105088
중동,3105089
신중동,3105090
상동,3105091
대산동,3105092
소사본동,3105093
범안동,3105094
성곡동,3105095
오정동,3105096
광명1동,3106051
광명2동,3106052
광명3동,3106053
광명4동,3106054
광명5동,3106055
광명6동,3106056
광명7동,3106057
철산1동,3106058
철산2동,3106059
철산3동,3106060
철산4동,3106061
하안1동,3106062
하안2동,3106063
하안3동,3106064
하안4동,3106065
소하1동,3106066
소하2동,3106067
학온동,3106068
팽성읍,3107011
안중읍,3107012
포승읍,3107013
청북읍,3107014
진위면,3107031
서탄면,3107032
고덕면,3107033
오성면,3107034
현덕면,3107037
중앙동,3107051
서정동,3107052
송탄동,3107053
지산동,3107055
송북동,3107056
신장1동,3107057
신장2동,3107058
신평동,3107059
원평동,3107060
통복동,3107061
비전1동,3107062
세교동,3107064
비전2동,3107065
용이동,3107066
생연1동,3108051
생연2동,3108052
중앙동,3108053
보산동,3108055
불현동,3108056
소요동,3108058
상패동,3108060
송내동,3108061
일동,3109151
본오1동,3109154
본오2동,3109155
본오3동,3109156
부곡동,3109157
월피동,3109158
성포동,3109162
반월동,3109171
안산동,3109173
이동,3109174
사동,3109176
사이동,3109177
해양동,3109178
와동,3109259
초지동,3109266
선부1동,3109268
선부2동,3109269
선부3동,3109270
대부동,3109272
호수동,3109273
고잔동,3109274
중앙동,3109275
원곡동,3109276
신길동,3109277
백운동,3109278
주교동,3110151
원신동,3110152
흥도동,3110153
성사1동,3110154
성사2동,3110155
효자동,3110156
창릉동,3110158
고양동,3110159
관산동,3110160
능곡동,3110161
화정1동,3110162
화정2동,3110163
행주동,3110164
행신1동,3110165
행신2동,3110166
화전동,3110167
대덕동,3110168
행신3동,3110169
삼송동,3110170
식사동,3110351
중산동,3110352
정발산동,3110353
풍산동,3110354
백석1동,3110355
마두1동,3110356
마두2동,3110357
장항1동,3110358
장항2동,3110359
고봉동,3110360
백석2동,3110361
일산1동,3110451
일산2동,3110452
일산3동,3110453
탄현동,3110454
주엽1동,3110455
주엽2동,3110456
대화동,3110457
송포동,3110458
송산동,3110459
중앙동,3111051
갈현동,3111052
별양동,3111053
부림동,3111054
과천동,3111055
문원동,3111056
갈매동,3112051
동구동,3112052
인창동,3112053
교문1동,3112054
교문2동,3112055
수택1동,3112056
수택2동,3112057
수택3동,3112058
와부읍,3113011
진접읍,3113012
화도읍,3113013
진건읍,3113014
오남읍,3113015
퇴계원읍,3113016
별내면,3113031
수동면,3113034
조안면,3113035
호평동,3113051
평내동,3113052
금곡동,3113053
양정동,3113054
별내동,3113057
다산1동,3113058
다산2동,3113059
중앙동,3114051
대원동,3114052
남촌동,3114053
신장동,3114054
세마동,3114055
초평동,3114056
대야동,3115051
신천동,3115052
신현동,3115053
은행동,3115054
매화동,3115055
목감동,3115056
과림동,3115059
정왕2동,3115061
정왕3동,3115062
정왕본동,3115064
정왕1동,3115065
능곡동,3115067
군자동,3115068
월곶동,3115069
연성동,3115070
장곡동,3115071
정왕4동,3115072
배곧동,3115073
군포1동,3116051
군포2동,3116052
산본1동,3116054
산본2동,3116055
금정동,3116056
재궁동,3116057
오금동,3116058
수리동,3116059
궁내동,3116060
광정동,3116061
대야동,3116062
고천동,3117051
부곡동,3117052
오전동,3117053
내손1동,3117054
내손2동,3117055
청계동,3117056
천현동,3118051
신장1동,3118052
신장2동,3118053
덕풍1동,3118054
덕풍2동,3118055
덕풍3동,3118056
춘궁동,3118059
초이동,3118060
풍산동,3118061
미사1동,3118062
미사2동,3118063
위례동,3118065
감북동,3118066
감일동,3118067
포곡읍,3119111
모현읍,3119112
이동읍,3119113
남사면,3119132
원삼면,3119134
백암면,3119135
양지면,3119136
중앙동,3119151
역삼동,3119152
유림동,3119153
동부동,3119154
구갈동,3119252
기흥동,3119254
서농동,3119255
구성동,3119256
마북동,3119257
보정동,3119259
상하동,3119260
신갈동,3119261
영덕1동,3119263
영덕2동,3119264
상갈동,3119265
보라동,3119266
동백1동,3119267
동백2동,3119268
동백3동,3119269
풍덕천1동,3119351
풍덕천2동,3119352
신봉동,3119353
죽전1동,3119354
죽전2동,3119355
동천동,3119356
상현1동,3119357
상현2동,3119358
성복동,3119359
문산읍,3120011
파주읍,3120012
법원읍,3120013
조리읍,3120015
진동면,3120021
장단면,3120026
진서면,3120027
월롱면,3120031
탄현면,3120032
광탄면,3120035
파평면,3120036
적성면,3120037
군내면,3120038
금촌2동,3120052
금촌1동,3120053
금촌3동,3120054
교하동,3120055
운정1동,3120056
